rank	taxon	taxon_label	metabolite	metabolite_label	metabolite_platform	metabolite_display_name	metabolite_annotation	annotation_status	taxon_effect_direction	metabolite_effect_direction	taxon_fdr	metabolite_fdr	spearman_rho	correlation_fdr	adjusted_spearman_rho	adjusted_correlation_fdr	spls_component	spls_loading	prevalence	missingness	biological_note	overall_score	taxon_effect_size	metabolite_effect_size	taxon_best_comparison	metabolite_best_comparison	metabolite_key_full	metabolite_key_without_platform	annotation_id_raw.x	c18n_annotation_by_full_id	annotation_id_raw.y	c18n_annotation_by_qi_id
11	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	Clostridium	C18n_QI4874	C18n QI4874	C18N	C18n QI4874	NA	C18n_feature_without_matched_annotation	higher_in_case_group	higher_in_case_group	0.717792101678811	0.00102851179914872	0.46417750090569937	5.86735618782575e-4	0.4567503824461307	6.309720944232197e-4	comp2|comp2	0.4107413328026332	0.8911917098445595	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.5233702673166103	0.0118781304864783	4.31290504268445	CD_vs_UC	IBD_vs_non_IBD	C18N_QI4874	QI4874	NA	NA	NA	NA
12	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	Odoribacter	C18n_QI8008	C18n QI8008	C18N	C18n QI8008	NA	C18n_feature_without_matched_annotation	higher_in_case_group	higher_in_case_group	0.735725175417784	1.49050619803761e-5	-0.346415550662329	0.01241684177442638	-0.3072813543766095	0.02709095929224557	comp1|comp1	0.5918950229345374	0.5207253886010362	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.5228770068078462	0.00458844989895571	9.89389136383777	CD_vs_UC	UC_vs_non_IBD	C18N_QI8008	QI8008	NA	NA	NA	NA
13	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	HILp_QI376	HILp QI376	HILP	HILp QI376	NA	unannotated_feature_no_matching_platform_annotation	lower_in_case_group	higher_in_case_group	0.717792101678811	0.00120333934814398	0.426176653535144	0.00155973726739673	0.4427534729421521	9.758387695477948e-4	comp1|metabolite_not_selected	0.1040684961179441	0.966321243523316	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.5198613408653829	0.037346719580817	4.94945511026777	CD_vs_UC	UC_vs_non_IBD	HILP_QI376	QI376	NA	NA	NA	NA
14	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	Ruminococcus	C18n_QI4874	C18n QI4874	C18N	C18n QI4874	NA	C18n_feature_without_matched_annotation	lower_in_case_group	higher_in_case_group	0.424542790188377	0.00102851179914872	-0.400150336660423	0.00380850904291806	-0.4109996632020883	0.00241503152718598	comp2|comp2	0.8403716713400516	0.6010362694300518	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.517860047713369	0.0149179913005334	4.31290504268445	IBD_vs_non_IBD	IBD_vs_non_IBD	C18N_QI4874	QI4874	NA	NA	NA	NA
15	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	HILp_QI2095	HILp QI2095	HILP	HILp QI2095	NA	unannotated_feature_no_matching_platform_annotation	lower_in_case_group	higher_in_case_group	0.717792101678811	3.0373636464067e-4	0.33830603358905237	0.01530192366232028	0.3473875181422351	0.01210857955667369	comp1|comp1	0.18138546667461383	0.966321243523316	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.5089612668230814	0.037346719580817	9.61987870168868	CD_vs_UC	UC_vs_non_IBD	HILP_QI2095	QI2095	NA	NA	NA	NA
16	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	Ruminococcus	C18n_QI1728	C18n QI1728	C18N	C18n QI1728	NA	C18n_feature_without_matched_annotation	lower_in_case_group	lower_in_case_group	0.424542790188377	8.411507227375e-4	0.37669673450977426	0.00648087493465811	0.35198084251484163	0.01052808735896936	comp2|comp2	0.8403716713400516	0.6010362694300518	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.5061995741964036	0.0149179913005334	5.71167097775273	IBD_vs_non_IBD	UC_vs_non_IBD	C18N_QI1728	QI1728	NA	NA	NA	NA
17	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	Dorea	HILp_QI15737	HILp QI15737	HILP	HILp QI15737	NA	unannotated_feature_no_matching_platform_annotation	higher_in_case_group	higher_in_case_group	0.640034995738657	5.3215086614179e-4	0.3877779126699956	0.00484258299216142	0.3845803315848107	0.00538645668349684	comp1|comp1	0.1929733269678666	0.8756476683937824	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.5009313510027751	0.00310020507313553	11.2818250947765	CD_vs_UC	UC_vs_non_IBD	HILP_QI15737	QI15737	NA	NA	NA	NA
18	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	HILp_QI9275	HILp QI9275	HILP	HILp QI9275	NA	unannotated_feature_no_matching_platform_annotation	higher_in_case_group	higher_in_case_group	0.701708227496494	0.00153409083161569	-0.44361715306629435	0.00104339003663726	-0.45010730191690407	7.860779817037604e-4	comp1|metabolite_not_selected	0.592754426115458	0.422279792746114	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.49681541996199785	2.9609580665565e-4	7.09148320586765	CD_vs_non_IBD	UC_vs_non_IBD	HILP_QI9275	QI9275	NA	NA	NA	NA
19	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	HILn_QI25565	HILn QI25565	NA	HILn QI25565	NA	unannotated_feature_no_matching_platform_annotation	higher_in_case_group	lower_in_case_group	0.701708227496494	0.00160342277663911	0.4585566499052941	5.86735618782575e-4	0.46598680967702394	4.4867397293908007e-4	comp1|metabolite_not_selected	0.592754426115458	0.422279792746114	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.4849610635006669	2.9609580665565e-4	4.92843698725583	CD_vs_non_IBD	UC_vs_non_IBD	HILN_QI25565	HILN_QI25565	NA	NA	NA	NA
20	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	Dorea	HILp_QI2095	HILp QI2095	HILP	HILp QI2095	NA	unannotated_feature_no_matching_platform_annotation	higher_in_case_group	higher_in_case_group	0.640034995738657	3.0373636464067e-4	0.38720713249015126	0.00484258299216142	0.3533589052456977	0.01052296868037991	comp1|comp1	0.1929733269678666	0.8756476683937824	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.4795965708162688	0.00310020507313553	9.61987870168868	CD_vs_UC	UC_vs_non_IBD	HILP_QI2095	QI2095	NA	NA	NA	NA
21	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	C18n_QI3804	C18n QI3804	C18N	C18n QI3804	NA	C18n_feature_without_matched_annotation	lower_in_case_group	higher_in_case_group	0.717792101678811	0.00101700628028848	0.34580646508059876	0.01241684177442638	0.3433401924935624	0.01359031237923287	comp1|comp1	0.1040684961179441	0.966321243523316	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.4779620688764577	0.037346719580817	9.6552070365468	CD_vs_UC	UC_vs_non_IBD	C18N_QI3804	QI3804	NA	NA	NA	NA
22	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	HILp_QI3606	HILp QI3606	HILP	HILp QI3606	NA	unannotated_feature_no_matching_platform_annotation	lower_in_case_group	higher_in_case_group	0.717792101678811	0.00118433815911775	0.3760245735297483	0.00648087493465811	0.3682333132756868	0.00734863349231302	comp1|metabolite_not_selected	0.1040684961179441	0.966321243523316	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.47763496165676766	0.037346719580817	7.42931142545408	CD_vs_UC	UC_vs_non_IBD	HILP_QI3606	QI3606	NA	NA	NA	NA
23	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	Barnesiella	C18n_QI8008	C18n QI8008	C18N	C18n QI8008	NA	C18n_feature_without_matched_annotation	lower_in_case_group	higher_in_case_group	0.583347516910695	1.49050619803761e-5	-0.3129019430282695	0.02522604354098352	-0.3162894165191381	0.0228043295798613	comp2|comp1	0.3051965175789455	0.3238341968911917	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.4764553160597188	0.00984543875213202	9.89389136383777	IBD_vs_non_IBD	UC_vs_non_IBD	C18N_QI8008	QI8008	NA	NA	NA	NA
24	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	Coprobacillus	C18n_QI4874	C18n QI4874	C18N	C18n QI4874	NA	C18n_feature_without_matched_annotation	higher_in_case_group	higher_in_case_group	0.687969904973528	0.00102851179914872	0.4621453862280095	5.86735618782575e-4	0.47512116751307903	4.4867397293908007e-4	comp1;comp2|comp2	0.4107413328026332	0.27202072538860106	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.4737663778382627	0.003770206224345	4.31290504268445	CD_vs_non_IBD	IBD_vs_non_IBD	C18N_QI4874	QI4874	NA	NA	NA	NA
25	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	HILp_QI3060	HILp QI3060	HILP	HILp QI3060	NA	unannotated_feature_no_matching_platform_annotation	lower_in_case_group	higher_in_case_group	0.717792101678811	2.010137516884e-4	0.3688886585113	0.00737894233578823	0.37380261248185775	0.00693151495531549	comp1|metabolite_not_selected	0.1040684961179441	0.966321243523316	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.4734416711788708	0.037346719580817	4.97796812229578	CD_vs_UC	UC_vs_non_IBD	HILP_QI3060	QI3060	NA	NA	NA	NA
26	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	Odoribacter	C18n_QI2966	C18n QI2966	C18N	C18n QI2966	NA	C18n_feature_without_matched_annotation	higher_in_case_group	lower_in_case_group	0.735725175417784	5.5556770370696e-4	0.4402325224861184	0.00113107777223417	0.42713213748858714	0.00153689141825126	comp1|comp1	0.5918950229345374	0.5207253886010362	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.46783029952240057	0.00458844989895571	3.73738629291833	CD_vs_UC	UC_vs_non_IBD	C18N_QI2966	QI2966	NA	NA	NA	NA
27	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	Eggerthella	C18n_QI4874	C18n QI4874	C18N	C18n QI4874	NA	C18n_feature_without_matched_annotation	higher_in_case_group	higher_in_case_group	0.687969904973528	0.00102851179914872	0.4627830140477948	5.86735618782575e-4	0.4483840034681243	7.860779817037604e-4	taxon_not_selected|comp2	0.4107413328026332	0.24093264248704663	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.45761995159689584	4.9398657525202e-4	4.31290504268445	CD_vs_non_IBD	IBD_vs_non_IBD	C18N_QI4874	QI4874	NA	NA	NA	NA
28	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	Dorea	C8p_QI8001	C8p QI8001	C8P	C8p QI8001	NA	unannotated_feature_no_matching_platform_annotation	higher_in_case_group	higher_in_case_group	0.640034995738657	5.9282692139002e-4	0.3917497304929701	0.00437097432429134	0.375625072522015	0.00689669243479704	comp1|metabolite_not_selected	0.1929733269678666	0.8756476683937824	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.4552865589650707	0.00310020507313553	8.70272698931009	CD_vs_UC	UC_vs_non_IBD	C8P_QI8001	QI8001	NA	NA	NA	NA
29	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	C18n_QI1015	C18n QI1015	C18N	C18n QI1015	NA	C18n_feature_without_matched_annotation	lower_in_case_group	higher_in_case_group	0.717792101678811	3.8019684523636e-4	0.31145134232210553	0.02597668665627925	0.32153947672018907	0.02059727824021078	comp1|comp1	0.22090491117497651	0.966321243523316	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.4540605169228273	0.037346719580817	8.79450842840639	CD_vs_UC	UC_vs_non_IBD	C18N_QI1015	QI1015	NA	NA	NA	NA
30	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	Coprobacillus	C18n_QI7436	C18n QI7436	C18N	C18n QI7436	NA	C18n_feature_without_matched_annotation	higher_in_case_group	higher_in_case_group	0.687969904973528	8.2423756791303e-4	0.4196048605693657	0.00203880943051384	0.409706207036027	0.00241503152718598	comp1;comp2|comp2	0.18181304340491175	0.27202072538860106	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.4524042663667944	0.003770206224345	8.48693420336124	CD_vs_non_IBD	IBD_vs_non_IBD	C18N_QI7436	QI7436	NA	NA	NA	NA
31	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	C18n_QI1028	C18n QI1028	C18N	C18n QI1028	NA	C18n_feature_without_matched_annotation	lower_in_case_group	higher_in_case_group	0.717792101678811	0.00230268802649599	0.3766334231356432	0.00648087493465811	0.3719438728624809	0.00693151495531549	comp1|metabolite_not_selected	0.1040684961179441	0.966321243523316	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.4491581297897643	0.037346719580817	6.77758536121254	CD_vs_UC	UC_vs_non_IBD	C18N_QI1028	QI1028	NA	NA	NA	NA
32	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	HILp_QI9275	HILp QI9275	HILP	HILp QI9275	NA	unannotated_feature_no_matching_platform_annotation	lower_in_case_group	higher_in_case_group	0.717792101678811	0.00153409083161569	0.3618583603510046	0.00893273106411918	0.3665260169515899	0.00769055782708426	comp1|metabolite_not_selected	0.1040684961179441	0.966321243523316	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.4454726412026434	0.037346719580817	7.09148320586765	CD_vs_UC	UC_vs_non_IBD	HILP_QI9275	QI9275	NA	NA	NA	NA
33	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	C18n_QI1056	C18n QI1056	C18N	C18n QI1056	NA	C18n_feature_without_matched_annotation	lower_in_case_group	higher_in_case_group	0.717792101678811	6.0158889061692e-4	0.3627396048370437	0.00871648502716816	0.37182538704992346	0.00693151495531549	comp1|metabolite_not_selected	0.1040684961179441	0.966321243523316	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.4442746845398553	0.037346719580817	5.50398416548671	CD_vs_UC	UC_vs_non_IBD	C18N_QI1056	QI1056	NA	NA	NA	NA
34	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	Dorea	C18n_QI2402	C18n QI2402	C18N	C18n QI2402	NA	C18n_feature_without_matched_annotation	higher_in_case_group	higher_in_case_group	0.640034995738657	3.0373636464067e-4	0.3505251816600214	0.01172508565129099	0.3643571992345419	0.00785852462251166	comp1|comp1	0.1929733269678666	0.8756476683937824	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.4422478802385294	0.00310020507313553	10.1965262837166	CD_vs_UC	UC_vs_non_IBD	C18N_QI2402	QI2402	NA	NA	NA	NA
35	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	C18n_QI7515	C18n QI7515	C18N	C18n QI7515	NA	C18n_feature_without_matched_annotation	higher_in_case_group	higher_in_case_group	0.701708227496494	1.04664968135684e-5	-0.3234146885110606	0.0214558530911014	-0.32690234294007875	0.0188289016146332	comp1|comp1;comp2	0.592754426115458	0.422279792746114	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.440664219918598	2.9609580665565e-4	7.06215984501514	CD_vs_non_IBD	UC_vs_non_IBD	C18N_QI7515	QI7515	NA	NA	NA	NA
36	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	C18n_QI11958	C18n QI11958	C18N	C18n QI11958	NA	C18n_feature_without_matched_annotation	lower_in_case_group	higher_in_case_group	0.717792101678811	5.2562606465987e-4	0.3397528324465831	0.01481845249826485	0.3487405990798655	0.01167585706229593	comp1|comp2	0.1040684961179441	0.966321243523316	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.4392067955397349	0.037346719580817	6.96517848724517	CD_vs_UC	UC_vs_non_IBD	C18N_QI11958	QI11958	NA	NA	NA	NA
37	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	C18n_QI3682	C18n QI3682	C18N	C18n QI3682	NA	C18n_feature_without_matched_annotation	higher_in_case_group	lower_in_case_group	0.701708227496494	0.00202663071745311	0.4256316809211501	0.00155973726739673	0.43569876606808544	0.00120327322402159	comp1|metabolite_not_selected	0.592754426115458	0.422279792746114	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.4391150782552933	2.9609580665565e-4	5.77649095042478	CD_vs_non_IBD	UC_vs_non_IBD	C18N_QI3682	QI3682	NA	NA	NA	NA
38	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	C18n_QI2966	C18n QI2966	C18N	C18n QI2966	NA	C18n_feature_without_matched_annotation	higher_in_case_group	lower_in_case_group	0.701708227496494	5.5556770370696e-4	0.4282001594173407	0.00155973726739673	0.4307774768351426	0.00139517436161717	comp1|comp1	0.592754426115458	0.422279792746114	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.4382050012348275	2.9609580665565e-4	3.73738629291833	CD_vs_non_IBD	UC_vs_non_IBD	C18N_QI2966	QI2966	NA	NA	NA	NA
39	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	HILp_QI2095	HILp QI2095	HILP	HILp QI2095	NA	unannotated_feature_no_matching_platform_annotation	higher_in_case_group	higher_in_case_group	0.701708227496494	3.0373636464067e-4	-0.34979266017001864	0.0119599378185954	-0.35811735434376935	0.00941416934312901	comp1|comp1	0.592754426115458	0.422279792746114	0	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	0.4368229504460412	2.9609580665565e-4	9.61987870168868	CD_vs_non_IBD	UC_vs_non_IBD	HILP_QI2095	QI2095	NA	NA	NA	NA
