rank	taxon_label	metabolite	metabolite_display_name	annotation_status	metabolite_fdr	spearman_rho	correlation_fdr	spls_loading	overall_score	biological_note	taxon	metabolite_label	metabolite_platform	metabolite_annotation	taxon_effect_direction	metabolite_effect_direction	taxon_fdr	adjusted_spearman_rho	adjusted_correlation_fdr	spls_component	prevalence	missingness	taxon_effect_size	metabolite_effect_size	taxon_best_comparison	metabolite_best_comparison	metabolite_key_full	metabolite_key_without_platform	annotation_id_raw.x	c18n_annotation_by_full_id	annotation_id_raw.y	c18n_annotation_by_qi_id
11	Clostridium	C18n_QI4874	C18n QI4874	C18n_feature_without_matched_annotation	0.00102851179914872	0.46417750090569937	5.86735618782575e-4	0.4107413328026332	0.5233702673166103	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	C18n QI4874	C18N	NA	higher_in_case_group	higher_in_case_group	0.717792101678811	0.4567503824461307	6.309720944232197e-4	comp2|comp2	0.8911917098445595	0	0.0118781304864783	4.31290504268445	CD_vs_UC	IBD_vs_non_IBD	C18N_QI4874	QI4874	NA	NA	NA	NA
12	Odoribacter	C18n_QI8008	C18n QI8008	C18n_feature_without_matched_annotation	1.49050619803761e-5	-0.346415550662329	0.01241684177442638	0.5918950229345374	0.5228770068078462	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n QI8008	C18N	NA	higher_in_case_group	higher_in_case_group	0.735725175417784	-0.3072813543766095	0.02709095929224557	comp1|comp1	0.5207253886010362	0	0.00458844989895571	9.89389136383777	CD_vs_UC	UC_vs_non_IBD	C18N_QI8008	QI8008	NA	NA	NA	NA
13	Faecalibacterium	HILp_QI376	HILp QI376	unannotated_feature_no_matching_platform_annotation	0.00120333934814398	0.426176653535144	0.00155973726739673	0.1040684961179441	0.5198613408653829	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp QI376	HILP	NA	lower_in_case_group	higher_in_case_group	0.717792101678811	0.4427534729421521	9.758387695477948e-4	comp1|metabolite_not_selected	0.966321243523316	0	0.037346719580817	4.94945511026777	CD_vs_UC	UC_vs_non_IBD	HILP_QI376	QI376	NA	NA	NA	NA
14	Ruminococcus	C18n_QI4874	C18n QI4874	C18n_feature_without_matched_annotation	0.00102851179914872	-0.400150336660423	0.00380850904291806	0.8403716713400516	0.517860047713369	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	C18n QI4874	C18N	NA	lower_in_case_group	higher_in_case_group	0.424542790188377	-0.4109996632020883	0.00241503152718598	comp2|comp2	0.6010362694300518	0	0.0149179913005334	4.31290504268445	IBD_vs_non_IBD	IBD_vs_non_IBD	C18N_QI4874	QI4874	NA	NA	NA	NA
15	Faecalibacterium	HILp_QI2095	HILp QI2095	unannotated_feature_no_matching_platform_annotation	3.0373636464067e-4	0.33830603358905237	0.01530192366232028	0.18138546667461383	0.5089612668230814	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp QI2095	HILP	NA	lower_in_case_group	higher_in_case_group	0.717792101678811	0.3473875181422351	0.01210857955667369	comp1|comp1	0.966321243523316	0	0.037346719580817	9.61987870168868	CD_vs_UC	UC_vs_non_IBD	HILP_QI2095	QI2095	NA	NA	NA	NA
16	Ruminococcus	C18n_QI1728	C18n QI1728	C18n_feature_without_matched_annotation	8.411507227375e-4	0.37669673450977426	0.00648087493465811	0.8403716713400516	0.5061995741964036	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	C18n QI1728	C18N	NA	lower_in_case_group	lower_in_case_group	0.424542790188377	0.35198084251484163	0.01052808735896936	comp2|comp2	0.6010362694300518	0	0.0149179913005334	5.71167097775273	IBD_vs_non_IBD	UC_vs_non_IBD	C18N_QI1728	QI1728	NA	NA	NA	NA
17	Dorea	HILp_QI15737	HILp QI15737	unannotated_feature_no_matching_platform_annotation	5.3215086614179e-4	0.3877779126699956	0.00484258299216142	0.1929733269678666	0.5009313510027751	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	HILp QI15737	HILP	NA	higher_in_case_group	higher_in_case_group	0.640034995738657	0.3845803315848107	0.00538645668349684	comp1|comp1	0.8756476683937824	0	0.00310020507313553	11.2818250947765	CD_vs_UC	UC_vs_non_IBD	HILP_QI15737	QI15737	NA	NA	NA	NA
18	Anaerotruncus	HILp_QI9275	HILp QI9275	unannotated_feature_no_matching_platform_annotation	0.00153409083161569	-0.44361715306629435	0.00104339003663726	0.592754426115458	0.49681541996199785	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILp QI9275	HILP	NA	higher_in_case_group	higher_in_case_group	0.701708227496494	-0.45010730191690407	7.860779817037604e-4	comp1|metabolite_not_selected	0.422279792746114	0	2.9609580665565e-4	7.09148320586765	CD_vs_non_IBD	UC_vs_non_IBD	HILP_QI9275	QI9275	NA	NA	NA	NA
19	Anaerotruncus	HILn_QI25565	HILn QI25565	unannotated_feature_no_matching_platform_annotation	0.00160342277663911	0.4585566499052941	5.86735618782575e-4	0.592754426115458	0.4849610635006669	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILn QI25565	NA	NA	higher_in_case_group	lower_in_case_group	0.701708227496494	0.46598680967702394	4.4867397293908007e-4	comp1|metabolite_not_selected	0.422279792746114	0	2.9609580665565e-4	4.92843698725583	CD_vs_non_IBD	UC_vs_non_IBD	HILN_QI25565	HILN_QI25565	NA	NA	NA	NA
20	Dorea	HILp_QI2095	HILp QI2095	unannotated_feature_no_matching_platform_annotation	3.0373636464067e-4	0.38720713249015126	0.00484258299216142	0.1929733269678666	0.4795965708162688	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	HILp QI2095	HILP	NA	higher_in_case_group	higher_in_case_group	0.640034995738657	0.3533589052456977	0.01052296868037991	comp1|comp1	0.8756476683937824	0	0.00310020507313553	9.61987870168868	CD_vs_UC	UC_vs_non_IBD	HILP_QI2095	QI2095	NA	NA	NA	NA
21	Faecalibacterium	C18n_QI3804	C18n QI3804	C18n_feature_without_matched_annotation	0.00101700628028848	0.34580646508059876	0.01241684177442638	0.1040684961179441	0.4779620688764577	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n QI3804	C18N	NA	lower_in_case_group	higher_in_case_group	0.717792101678811	0.3433401924935624	0.01359031237923287	comp1|comp1	0.966321243523316	0	0.037346719580817	9.6552070365468	CD_vs_UC	UC_vs_non_IBD	C18N_QI3804	QI3804	NA	NA	NA	NA
22	Faecalibacterium	HILp_QI3606	HILp QI3606	unannotated_feature_no_matching_platform_annotation	0.00118433815911775	0.3760245735297483	0.00648087493465811	0.1040684961179441	0.47763496165676766	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp QI3606	HILP	NA	lower_in_case_group	higher_in_case_group	0.717792101678811	0.3682333132756868	0.00734863349231302	comp1|metabolite_not_selected	0.966321243523316	0	0.037346719580817	7.42931142545408	CD_vs_UC	UC_vs_non_IBD	HILP_QI3606	QI3606	NA	NA	NA	NA
23	Barnesiella	C18n_QI8008	C18n QI8008	C18n_feature_without_matched_annotation	1.49050619803761e-5	-0.3129019430282695	0.02522604354098352	0.3051965175789455	0.4764553160597188	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	C18n QI8008	C18N	NA	lower_in_case_group	higher_in_case_group	0.583347516910695	-0.3162894165191381	0.0228043295798613	comp2|comp1	0.3238341968911917	0	0.00984543875213202	9.89389136383777	IBD_vs_non_IBD	UC_vs_non_IBD	C18N_QI8008	QI8008	NA	NA	NA	NA
24	Coprobacillus	C18n_QI4874	C18n QI4874	C18n_feature_without_matched_annotation	0.00102851179914872	0.4621453862280095	5.86735618782575e-4	0.4107413328026332	0.4737663778382627	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C18n QI4874	C18N	NA	higher_in_case_group	higher_in_case_group	0.687969904973528	0.47512116751307903	4.4867397293908007e-4	comp1;comp2|comp2	0.27202072538860106	0	0.003770206224345	4.31290504268445	CD_vs_non_IBD	IBD_vs_non_IBD	C18N_QI4874	QI4874	NA	NA	NA	NA
25	Faecalibacterium	HILp_QI3060	HILp QI3060	unannotated_feature_no_matching_platform_annotation	2.010137516884e-4	0.3688886585113	0.00737894233578823	0.1040684961179441	0.4734416711788708	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp QI3060	HILP	NA	lower_in_case_group	higher_in_case_group	0.717792101678811	0.37380261248185775	0.00693151495531549	comp1|metabolite_not_selected	0.966321243523316	0	0.037346719580817	4.97796812229578	CD_vs_UC	UC_vs_non_IBD	HILP_QI3060	QI3060	NA	NA	NA	NA
26	Odoribacter	C18n_QI2966	C18n QI2966	C18n_feature_without_matched_annotation	5.5556770370696e-4	0.4402325224861184	0.00113107777223417	0.5918950229345374	0.46783029952240057	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n QI2966	C18N	NA	higher_in_case_group	lower_in_case_group	0.735725175417784	0.42713213748858714	0.00153689141825126	comp1|comp1	0.5207253886010362	0	0.00458844989895571	3.73738629291833	CD_vs_UC	UC_vs_non_IBD	C18N_QI2966	QI2966	NA	NA	NA	NA
27	Eggerthella	C18n_QI4874	C18n QI4874	C18n_feature_without_matched_annotation	0.00102851179914872	0.4627830140477948	5.86735618782575e-4	0.4107413328026332	0.45761995159689584	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	C18n QI4874	C18N	NA	higher_in_case_group	higher_in_case_group	0.687969904973528	0.4483840034681243	7.860779817037604e-4	taxon_not_selected|comp2	0.24093264248704663	0	4.9398657525202e-4	4.31290504268445	CD_vs_non_IBD	IBD_vs_non_IBD	C18N_QI4874	QI4874	NA	NA	NA	NA
28	Dorea	C8p_QI8001	C8p QI8001	unannotated_feature_no_matching_platform_annotation	5.9282692139002e-4	0.3917497304929701	0.00437097432429134	0.1929733269678666	0.4552865589650707	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C8p QI8001	C8P	NA	higher_in_case_group	higher_in_case_group	0.640034995738657	0.375625072522015	0.00689669243479704	comp1|metabolite_not_selected	0.8756476683937824	0	0.00310020507313553	8.70272698931009	CD_vs_UC	UC_vs_non_IBD	C8P_QI8001	QI8001	NA	NA	NA	NA
29	Faecalibacterium	C18n_QI1015	C18n QI1015	C18n_feature_without_matched_annotation	3.8019684523636e-4	0.31145134232210553	0.02597668665627925	0.22090491117497651	0.4540605169228273	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n QI1015	C18N	NA	lower_in_case_group	higher_in_case_group	0.717792101678811	0.32153947672018907	0.02059727824021078	comp1|comp1	0.966321243523316	0	0.037346719580817	8.79450842840639	CD_vs_UC	UC_vs_non_IBD	C18N_QI1015	QI1015	NA	NA	NA	NA
30	Coprobacillus	C18n_QI7436	C18n QI7436	C18n_feature_without_matched_annotation	8.2423756791303e-4	0.4196048605693657	0.00203880943051384	0.18181304340491175	0.4524042663667944	High-priority exploratory pair supported by metabolite disease association, cross-omics correlation, and sPLS selection; requires external validation.	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C18n QI7436	C18N	NA	higher_in_case_group	higher_in_case_group	0.687969904973528	0.409706207036027	0.00241503152718598	comp1;comp2|comp2	0.27202072538860106	0	0.003770206224345	8.48693420336124	CD_vs_non_IBD	IBD_vs_non_IBD	C18N_QI7436	QI7436	NA	NA	NA	NA
