taxon	taxon_label	metabolite	metabolite_label	spearman_rho	correlation_fdr	n_samples	p_value	abs_rho	correlation_direction
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	C18n_QI3804	C18n QI3804	-0.42572953077131126	0.00155973726739673	105	5.966387864944356e-6	0.42572953077131126	negative
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	C18n_QI3682	C18n QI3682	0.4256316809211501	0.00155973726739673	105	5.9989894899874515e-6	0.4256316809211501	positive
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	Coprobacillus	C18n_QI7436	C18n QI7436	0.4196048605693657	0.00203880943051384	105	8.364346381595276e-6	0.4196048605693657	positive
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	Klebsiella	C18n_QI4874	C18n QI4874	0.4180661232065873	0.00208670652350607	105	9.095900230667514e-6	0.4180661232065873	positive
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	C18n_QI2320	C18n QI2320	0.41577115112083635	0.00223160131160323	105	1.029969836124572e-5	0.41577115112083635	positive
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	HILp_QI2044	HILp QI2044	0.4116317644619531	0.00263937927927146	105	1.2858514437476384e-5	0.4116317644619531	positive
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	Ruminococcus	C8p_QI21618	C8p QI21618	-0.4075722876864313	0.0031081473575856	105	1.5939217218387704e-5	0.4075722876864313	negative
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	HILp_QI9931	HILp QI9931	0.40583455996946494	0.00324244059289391	105	1.745929550019799e-5	0.40583455996946494	positive
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	Ruminococcus	C8p_QI6409	C8p QI6409	-0.4035431711086311	0.003487363549356	105	1.967230720149541e-5	0.4035431711086311	negative
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	HILn_QI31979	HILn QI31979	0.4016217600584389	0.0036843407188391	105	2.17281632136665e-5	0.4016217600584389	positive
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	Ruminococcus	C18n_QI4874	C18n QI4874	-0.400150336660423	0.00380850904291806	105	2.3436978725649625e-5	0.400150336660423	negative
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	Propionibacterium	C18n_QI4874	C18n QI4874	0.3981596937108492	0.0040481843189164	105	2.594989948023339e-5	0.3981596937108492	positive
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	C18n_QI2228	C18n QI2228	-0.39642256644213386	0.0040599314844732	105	2.834692505856444e-5	0.39642256644213386	negative
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	C18n_QI846	C18n QI846	-0.39599408044002377	0.0040599314844732	105	2.896927414547048e-5	0.39599408044002377	negative
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	Odoribacter	C18n_QI413	C18n QI413	0.3958724680790783	0.0040599314844732	105	2.9148226042371757e-5	0.3958724680790783	positive
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	Dorea	HILn_QI27528	HILn QI27528	-0.3947432987804568	0.00415012998777901	105	3.0859940934767036e-5	0.3947432987804568	negative
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	Faecalibacterium	HILp_QI3766	HILp QI3766	0.39277420692515025	0.00437097432429134	105	3.407201468923922e-5	0.39277420692515025	positive
