taxon	metabolite	spearman_rho	p_value	n_samples	adjusted_correlation_fdr	abs_adjusted_rho	adjusted_direction	covariates_used	taxon_label	metabolite_label
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp_QI3060	0.37380261248185775	8.570405581405357e-5	105	0.0069315149553154974	0.37380261248185775	positive	sex_model;antibiotic_model	Faecalibacterium	HILp QI3060
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI8934	-0.3728695832469417	8.955182567803922e-5	105	0.0069315149553154974	0.3728695832469417	negative	sex_model;antibiotic_model	Anaerotruncus	C18n QI8934
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI2095	0.37281767524425086	8.977054290186484e-5	105	0.0069315149553154974	0.37281767524425086	positive	sex_model;antibiotic_model	Anaerotruncus	C18n QI2095
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI2228	0.37264644467149044	9.049556232674968e-5	105	0.0069315149553154974	0.37264644467149044	positive	sex_model;antibiotic_model	Anaerotruncus	C18n QI2228
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI1028	0.3719438728624809	9.352779769291929e-5	105	0.0069315149553154974	0.3719438728624809	positive	sex_model;antibiotic_model	Faecalibacterium	C18n QI1028
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI1056	0.37182538704992346	9.404839322818084e-5	105	0.0069315149553154974	0.37182538704992346	positive	sex_model;antibiotic_model	Faecalibacterium	C18n QI1056
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C8p_QI10300	0.3718017831225378	9.415242420138611e-5	105	0.0069315149553154974	0.3718017831225378	positive	sex_model;antibiotic_model	Coprobacillus	C8p QI10300
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILn_QI26736	0.371778227514823	9.425634894089431e-5	105	0.0069315149553154974	0.371778227514823	positive	sex_model;antibiotic_model	Anaerotruncus	HILn QI26736
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI2042	-0.37139218129045076	9.597482245821457e-5	105	0.0069315149553154974	0.37139218129045076	negative	sex_model;antibiotic_model	Anaerotruncus	C18n QI2042
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C18n_QI8231	0.36999554999497103	1.024383607556838e-4	105	0.007263811035403033	0.36999554999497103	positive	sex_model;antibiotic_model	Dorea	C18n QI8231
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILn_QI26736	-0.36912900111636143	1.0664981238246611e-4	105	0.007328826617519019	0.36912900111636143	negative	sex_model;antibiotic_model	Faecalibacterium	HILn QI26736
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	C8p_QI7970	0.36869006321891096	1.0884395674191426e-4	105	0.007328826617519019	0.36869006321891096	positive	sex_model;antibiotic_model	Escherichia	C8p QI7970
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C18n_QI11343	0.3686605846983205	1.089928061066931e-4	105	0.007328826617519019	0.3686605846983205	positive	sex_model;antibiotic_model	Dorea	C18n QI11343
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp_QI3606	0.3682333132756868	1.1117163488370978e-4	105	0.0073486334923130205	0.3682333132756868	positive	sex_model;antibiotic_model	Faecalibacterium	HILp QI3606
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI7436	-0.36714242554658943	1.1691948886477868e-4	105	0.007599766776210614	0.36714242554658943	negative	sex_model;antibiotic_model	Anaerotruncus	C18n QI7436
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp_QI9275	0.3665260169515899	1.2028821216721546e-4	105	0.007690557827084267	0.3665260169515899	positive	sex_model;antibiotic_model	Faecalibacterium	HILp QI9275
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI2086	0.3654062964098329	1.2663928728179463e-4	105	0.007858524622511668	0.3654062964098329	positive	sex_model;antibiotic_model	Faecalibacterium	C18n QI2086
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	C8p_QI2513	-0.3645018485011523	1.3199519310792802e-4	105	0.007858524622511668	0.3645018485011523	negative	sex_model;antibiotic_model	Barnesiella	C8p QI2513
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI1784	-0.36437901720920585	1.3273857422043715e-4	105	0.007858524622511668	0.36437901720920585	negative	sex_model;antibiotic_model	Anaerotruncus	C18n QI1784
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C18n_QI2402	0.3643571992345419	1.3287102348913567e-4	105	0.007858524622511668	0.3643571992345419	positive	sex_model;antibiotic_model	Dorea	C18n QI2402
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	C8p_QI10300	0.36433754924320955	1.3299041668865899e-4	105	0.007858524622511668	0.36433754924320955	positive	sex_model;antibiotic_model	Escherichia	C8p QI10300
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	C8p_QI21618	0.36317118844294644	1.4025828042008316e-4	105	0.008164287964751108	0.36317118844294644	positive	sex_model;antibiotic_model	Escherichia	C8p QI21618
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI2917	0.36279178491208736	1.4270076456465573e-4	105	0.008184308555914078	0.36279178491208736	positive	sex_model;antibiotic_model	Anaerotruncus	C18n QI2917
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C18n_QI8815	0.3615280945469624	1.5112357135768731e-4	105	0.008541767076738848	0.3615280945469624	positive	sex_model;antibiotic_model	Coprobacillus	C18n QI8815
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	C18n_QI4874	0.360749553033071	1.5653989201336066e-4	105	0.008721508269315809	0.360749553033071	positive	sex_model;antibiotic_model	Escherichia	C18n QI4874
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILn_QI27528	0.35878573413876685	1.7101208421804238e-4	105	0.009314851427077697	0.35878573413876685	positive	sex_model;antibiotic_model	Anaerotruncus	HILn QI27528
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	HILn_QI26736	-0.3586617054245927	1.7196648788451134e-4	105	0.009314851427077697	0.3586617054245927	negative	sex_model;antibiotic_model	Dorea	HILn QI26736
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILp_QI2095	-0.35811735434376935	1.762139389867738e-4	105	0.009414169343129011	0.35811735434376935	negative	sex_model;antibiotic_model	Anaerotruncus	HILp QI2095
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILp_QI15738	-0.3571826723602089	1.8373450210131974e-4	105	0.009587579307461791	0.3571826723602089	negative	sex_model;antibiotic_model	Anaerotruncus	HILp QI15738
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	C8p_QI6409	-0.35705001579547785	1.8482564551541896e-4	105	0.009587579307461791	0.35705001579547785	negative	sex_model;antibiotic_model	Barnesiella	C8p QI6409
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI762	0.356807628165404	1.8683487881207593e-4	105	0.009587579307461791	0.356807628165404	positive	sex_model;antibiotic_model	Anaerotruncus	C18n QI762
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILp_QI12296	-0.3544578063445987	2.0738940402439138e-4	105	0.01045739724892228	0.3544578063445987	negative	sex_model;antibiotic_model	Anaerotruncus	HILp QI12296
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI903	0.3542669093186307	2.0914794497844561e-4	105	0.01045739724892228	0.3542669093186307	positive	sex_model;antibiotic_model	Faecalibacterium	C18n QI903
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	HILp_QI2095	0.3533589052456977	2.1770294435731436e-4	105	0.01052296868037991	0.3533589052456977	positive	sex_model;antibiotic_model	Dorea	HILp QI2095
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	C18n_QI1872	0.3533158492672683	2.181165360485314e-4	105	0.01052296868037991	0.3533158492672683	positive	sex_model;antibiotic_model	Alistipes	C18n QI1872
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C18n_QI762	-0.35294169327617736	2.2174136715246402e-4	105	0.01052296868037991	0.35294169327617736	negative	sex_model;antibiotic_model	Dorea	C18n QI762
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	C18n_QI7436	-0.3526831823585211	2.2427828648168935e-4	105	0.01052296868037991	0.3526831823585211	negative	sex_model;antibiotic_model	Bilophila	C18n QI7436
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	C18n_QI1872	0.3524692416460913	2.2639808380964913e-4	105	0.01052296868037991	0.3524692416460913	positive	sex_model;antibiotic_model	Ruminococcus	C18n QI1872
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	HILp_QI15738	0.35244408519804576	2.2664855619279804e-4	105	0.01052296868037991	0.35244408519804576	positive	sex_model;antibiotic_model	Dorea	HILp QI15738
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	C18n_QI1728	0.35198084251484163	2.3130692482966546e-4	105	0.010528087358969361	0.35198084251484163	positive	sex_model;antibiotic_model	Ruminococcus	C18n QI1728
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI2448	0.3518971594443292	2.3215782381317055e-4	105	0.010528087358969361	0.3518971594443292	positive	sex_model;antibiotic_model	Faecalibacterium	C18n QI2448
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	C18n_QI1872	-0.35149278623025526	2.3631046893862517e-4	105	0.010593227917938371	0.35149278623025526	negative	sex_model;antibiotic_model	Haemophilus	C18n QI1872
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	C18n_QI2448	0.34891146589259797	2.6447917370974177e-4	105	0.011675857062295939	0.34891146589259797	positive	sex_model;antibiotic_model	Bifidobacterium	C18n QI2448
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI11958	0.3487405990798655	2.664490457805996e-4	105	0.011675857062295939	0.3487405990798655	positive	sex_model;antibiotic_model	Faecalibacterium	C18n QI11958
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n_QI3278	0.348037091829565	2.747031718992498e-4	105	0.011903804115634157	0.348037091829565	positive	sex_model;antibiotic_model	Odoribacter	C18n QI3278
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp_QI2095	0.3473875181422351	2.825335229890528e-4	105	0.012108579556673691	0.3473875181422351	positive	sex_model;antibiotic_model	Faecalibacterium	HILp QI2095
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	C18n_QI2095	-0.3466227320317715	2.9201662400165274e-4	105	0.012378965582678756	0.3466227320317715	negative	sex_model;antibiotic_model	Veillonella	C18n QI2095
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n_QI3702	0.3449965153788813	3.131653508427166e-4	105	0.013132740519210697	0.3449965153788813	positive	sex_model;antibiotic_model	Odoribacter	C18n QI3702
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n_QI2823	0.34409582298237334	0.00032547801478703773	105	0.013503875081589864	0.34409582298237334	positive	sex_model;antibiotic_model	Odoribacter	C18n QI2823
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C18n_QI11350	0.343655401202571	3.3165979546663846e-4	105	0.013590312379232873	0.343655401202571	positive	sex_model;antibiotic_model	Dorea	C18n QI11350
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI3804	0.3433401924935624	3.36150342017741e-4	105	0.013590312379232873	0.3433401924935624	positive	sex_model;antibiotic_model	Faecalibacterium	C18n QI3804
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C18n_QI13348	-0.3432104122550769	3.380154617398945e-4	105	0.013590312379232873	0.3432104122550769	negative	sex_model;antibiotic_model	Coprobacillus	C18n QI13348
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	C18n_QI13348	-0.34262378103508595	3.465657673857809e-4	105	0.013681043764555261	0.34262378103508595	negative	sex_model;antibiotic_model	Propionibacterium	C18n QI13348
